,0,1
0,1400,505
1,800,948
2,1700,506
3,1500,809
4,1900,809
5,1200,889
6,600,289
7,800,160
8,700,296
9,1200,160
10,1000,1108
11,2200,920
12,1200,1044
13,900,404
14,1000,335
15,1500,520
16,1300,1076
17,700,370
18,1000,405
19,300,767
20,1000,578
21,1100,368
22,1000,862
23,2600,948
24,2000,719
25,1200,742
26,2000,982
27,900,697
28,1500,1080
29,1800,768
30,2800,1044
31,1300,1079
32,1600,948
33,800,404
34,500,9
35,3200,807
36,700,704
37,900,476
38,2000,1079
39,2000,949
40,2400,1053
41,1000,1053
42,500,697
43,2200,1049
44,2000,949
45,1400,741
46,1600,740
47,1400,1079
48,800,1045
49,2500,550
50,7500,1081
51,1200,84
52,2500,890
53,300,4
54,800,402
55,800,404
56,2500,1076
57,3000,977
58,1500,187
59,1000,447
60,2200,1073
61,900,333
62,1000,1106
63,600,748
64,1200,582
65,1600,75
66,1200,367
67,300,1110
68,1200,521
69,2000,1042
70,300,54
71,2000,742
72,2600,1049
73,900,506
74,600,808
75,2400,1039
76,2200,506
77,1500,920
78,1000,636
79,1000,808
80,1200,448
81,800,1043
82,2000,807
83,1800,742
84,1500,75
85,900,402
86,2200,554
87,1700,879
88,1300,577
89,4000,718
90,1100,473
91,800,550
92,900,160
93,1300,692
94,2800,920
95,700,889
96,900,743
97,2300,777
98,1500,400
99,2500,742
100,1000,220
101,1600,1073
102,500,294
103,2900,888
104,1000,8
105,1200,505
106,500,370
107,600,774
108,1000,915
109,2400,748
110,1500,109
111,900,553
112,3400,948
113,3500,977
114,3000,336
115,2000,977
116,1500,890
117,1800,220
118,2200,701
119,2100,949
120,200,808
121,1200,367
122,1800,742
123,2300,1083
124,1700,772
125,1600,717
126,1000,1106
127,1500,553
128,800,1044
129,600,191
130,500,1037
131,1200,697
132,600,1108
133,900,554
134,2300,772
135,2500,888
136,800,70
137,1300,767
138,2000,1110
139,700,766
140,900,949
141,1400,1109
142,1900,743
143,1200,160
144,900,290
145,1500,369
146,1700,914
147,2000,374
148,1300,506
149,2000,157
150,2100,300
151,3000,984
152,3100,195
153,1500,949
154,1500,948
155,2000,978
156,1100,697
157,200,1106
158,1700,1079
159,1500,520
160,1700,742
161,1600,579
162,1200,292
163,1300,583
164,500,333
165,800,1050
166,2000,1104
167,2100,1042
168,5700,1075
169,1800,949
170,500,652
171,1200,771
172,2300,652
173,400,699
174,900,582
175,2100,652
176,2400,650
177,4000,979
178,1000,978
179,1500,474
180,3100,1037
181,1700,1044
182,2100,748
183,1400,773
184,1000,554
185,5600,1043
186,1500,948
187,1000,455
188,700,1084
189,2500,521
190,1200,76
191,2800,920
192,1100,704
193,2000,519
194,1200,506
195,800,949
196,1900,654
197,1900,99
198,1000,75
199,500,402
200,2400,766
201,1500,698
202,2400,470
203,1600,866
204,1300,366
205,1000,873
206,1400,371
207,1000,922
208,1800,1039
209,1000,1107
210,2400,767
211,1000,160
212,2000,977
213,800,191
214,1000,369
215,1500,1079
216,1200,504
217,1900,1049
218,3000,807
219,3500,646
220,2200,983
221,2000,303
222,2500,518
223,1500,520
224,6000,298
225,2000,367
226,1500,809
227,1000,366
228,1500,400
229,700,402
230,1500,1109
231,1100,889
232,1100,697
233,2000,1104
234,800,504
235,1200,743
236,1100,767
237,1700,1037
238,1200,333
239,800,1042
240,500,400
241,2100,772
242,700,300
243,2100,875
244,2000,882
245,1000,948
246,3100,767
247,1500,651
248,1500,1043
249,500,978
250,4000,337
251,900,366
252,1000,470
253,1200,209
254,1300,1037
255,2500,717
256,1200,504
257,1300,948
258,1700,403
259,2000,292
260,1000,476
261,3000,333
262,200,577
263,4500,84
264,0,1047
265,1000,339
266,1000,984
267,500,575
268,2500,403
269,2100,1037
270,3200,777
271,600,506
272,1600,373
273,1100,1109
274,1900,194
275,200,370
