,0
0,322
1,290
2,317
3,397
4,287
5,279
6,285
7,139
8,397
9,232
10,233
11,356
12,2550
13,264
14,281
15,286
16,261
17,159
18,208
19,212
20,139
21,229
22,256
23,370
24,365
25,334
26,276
27,300
28,389
29,223
30,389
31,299
32,269
33,418
34,325
35,517
36,273
37,184
38,216
39,320
40,325
41,275
42,176
43,255
44,325
45,203
46,397
47,217
48,218
49,240
50,747
51,200
52,174
53,179
54,191
55,235
56,235
57,360
58,236
59,219
60,361
61,333
62,169
63,175
64,297
65,267
66,200
67,263
68,186
69,217
70,105
71,206
72,350
73,269
74,234
75,495
76,315
77,202
78,296
79,221
80,236
81,216
82,362
83,388
84,399
85,405
86,261
87,329
88,217
89,461
90,277
91,174
92,337
93,260
94,273
95,190
96,255
97,397
98,289
99,540
100,260
101,238
102,282
103,331
104,245
105,332
106,164
107,212
108,245
109,414
110,282
111,251
112,282
113,458
114,198
115,386
116,227
117,184
118,445
119,314
120,357
121,305
122,277
123,375
124,240
125,323
126,225
127,275
128,191
129,183
130,130
131,276
132,283
133,274
134,332
135,387
136,353
137,245
138,268
139,148
140,261
141,260
142,228
143,354
144,274
145,323
146,316
147,358
148,294
149,243
150,396
151,303
152,284
153,236
154,166
155,415
156,280
157,146
158,251
159,304
160,388
161,513
162,214
163,272
164,167
165,236
166,397
167,331
168,420
169,328
170,191
171,303
172,377
173,236
174,236
175,339
176,259
177,452
178,404
179,271
180,258
181,285
182,304
183,258
184,197
185,680
186,267
187,214
188,244
189,303
190,226
191,312
192,303
193,218
194,232
195,238
196,326
197,244
198,294
199,174
200,339
201,296
202,222
203,245
204,222
205,184
206,221
207,460
208,258
209,284
210,304
211,271
212,385
213,383
214,255
215,199
216,304
217,309
218,228
219,317
220,322
221,340
222,309
223,172
224,915
225,333
226,283
227,254
228,262
229,164
230,205
231,329
232,274
233,254
234,303
235,409
236,120
237,249
238,390
239,243
240,232
241,344
242,283
243,328
244,302
245,202
246,359
247,259
248,328
249,318
250,328
251,267
252,252
253,480
254,266
255,292
256,265
257,309
258,255
259,269
260,138
261,722
262,153
263,259
264,321
265,174
266,202
267,95
268,181
269,303
270,335
271,212
272,278
273,374
274,342
275,72
276,350
277,365
278,185
279,230
280,422
281,313
282,233
283,326
284,242
285,219
286,295
287,245
288,222
289,337
290,223
291,225
292,205
293,448
294,257
295,283
296,340
297,304
298,208
299,375
300,180
301,513
302,259
303,225
304,282
305,338
306,327
307,293
308,389
309,330
310,164
311,228
312,286
313,255
314,409
315,283
316,341
317,327
318,131
319,391
320,400
321,385
322,259
323,266
324,218
325,186
326,338
