,Parent,Child,Day,TimeSpan,DistanceMeter,In5Mins
0,강북,번동,0,0,1400,1
1,관악,봉천,0,2,800,1
2,강북,번동,0,5,1700,1
3,구로,시흥,0,8,1500,0
4,구로,독산,0,8,1900,1
5,영등포,대림,0,9,1200,1
6,성동,왕십리,0,10,600,1
7,중부,무학,0,10,800,1
8,성동,금호,0,10,700,0
9,중부,무학,0,12,1200,1
10,강동,암사,0,14,1000,1
11,동작,백운,0,16,2200,0
12,강남,영동,0,20,1200,1
13,중랑,망우,0,20,900,1
14,광진,구의,0,20,1000,1
15,도봉,방학,0,22,1500,1
16,송파,가락,0,22,1300,1
17,동대문,장안,0,23,700,1
18,중랑,신내,1,10,1000,1
19,구로,공단,1,11,300,1
20,은평,역촌,1,12,1000,1
21,동대문,전농,1,12,1100,1
22,영등포,영등포,1,18,1000,1
23,관악,봉천,1,21,2600,1
24,양천,신월,1,22,2000,0
25,강서,화곡,1,22,1200,1
26,서초,잠원,2,0,2000,1
27,마포,서교,2,0,900,1
28,송파,마천,2,0,1500,0
29,구로,공단,2,2,1800,1
30,강남,영동,2,3,2800,0
31,송파,마천,2,3,1300,1
32,관악,봉천,2,3,1600,1
33,중랑,망우,2,4,800,0
34,종로,신교,2,4,500,1
35,구로,공단,2,8,3200,0
36,마포,상암,2,8,700,1
37,성북,장위,2,8,900,1
38,송파,가락,2,9,2000,1
39,관악,신림,2,10,2000,1
40,강남,역삼,2,10,2400,1
41,강남,역삼,2,13,1000,1
42,마포,서교,2,15,500,1
43,강남,수서,2,15,2200,1
44,관악,난곡,2,17,2000,1
45,강서,등촌,2,18,1400,1
46,강서,등촌,2,19,1600,1
47,송파,가락,2,19,1400,1
48,강남,영동,2,23,800,1
49,노원,월계,3,2,2500,1
50,송파,마천,3,5,7500,0
51,종로,신영,3,6,1200,1
52,영등포,대림,3,9,2500,1
53,종로,신교,3,10,300,1
54,중랑,중화,3,11,800,1
55,중랑,망우,3,12,800,1
56,송파,가락,3,15,2500,1
57,서초,방배,3,15,3000,0
58,용산,한강로,3,19,1500,1
59,성북,돈암,3,21,1000,1
60,송파,운동장,3,22,2200,0
61,광진,중곡,4,0,900,1
62,강동,길동,4,0,1000,1
63,강서,방화,4,2,600,1
64,은평,수색,4,7,1200,1
65,종로,숭인,4,10,1600,1
66,동대문,용두,4,10,1200,1
67,강동,천호,4,10,300,1
68,도봉,도봉,4,12,1200,1
69,강남,삼성,4,15,2000,1
70,종로,종로,4,15,300,1
71,강서,발산,4,15,2000,1
72,강남,수서,4,21,2600,1
73,강북,우이,4,23,900,1
74,구로,독산,4,23,600,1
75,강남,개포,5,1,2400,0
76,강북,번동,5,4,2200,1
77,동작,백운,5,5,1500,1
78,서대문,미근,5,5,1000,1
79,구로,독산,5,7,1000,1
80,성북,돈암,5,8,1200,1
81,강남,영동,5,9,800,1
82,구로,공단,5,9,2000,0
83,강서,화곡,5,9,1800,0
84,종로,숭인,5,10,1500,1
85,중랑,중화,5,11,900,0
86,노원,하계,5,12,2200,1
87,영등포,영등포,5,18,1700,1
88,은평,역촌,5,19,1300,1
89,양천,목동,5,19,4000,0
90,성북,종암,5,20,1100,1
91,노원,월계,5,20,800,1
92,중부,무학,5,21,900,1
93,마포,신수,5,22,1300,1
94,동작,백운,6,0,2800,1
95,영등포,대림,6,1,700,1
96,강서,방화,6,1,900,1
97,구로,수궁,6,2,2300,0
98,중랑,면목,6,7,1500,1
99,강서,등촌,6,8,2500,0
100,용산,이태원,6,8,1000,1
101,송파,운동장,6,9,1600,1
102,성동,금호,6,9,500,1
103,영등포,당산,6,11,2900,1
104,종로,세종로,6,14,1000,1
105,강북,번동,6,14,1200,1
106,동대문,장안,6,15,500,1
107,구로,수궁,6,16,600,1
108,동작,상도,6,16,1000,1
109,강서,개화,6,18,2400,1
110,중부,충무,6,19,1500,1
111,노원,상계,6,19,900,1
112,관악,관악,6,20,3400,1
113,서초,반포,6,21,3500,0
114,광진,구의,0,4,3000,1
115,서초,반포,0,5,2000,0
116,영등포,대림,0,9,1500,1
117,용산,이태원,0,10,1800,1
118,마포,서교,0,12,2200,0
119,관악,난곡,0,13,2100,1
120,구로,독산,0,13,200,0
121,동대문,용두,0,13,1200,1
122,강서,화곡,0,15,1800,1
123,송파,방이,0,16,2300,0
124,구로,고일,0,16,1700,1
125,양천,신정,0,18,1600,1
126,강동,길동,0,21,1000,1
127,노원,수락,0,23,1500,1
128,강남,영동,0,23,800,1
129,용산,후암,1,0,600,1
130,강남,역삼,1,0,500,1
131,마포,서교,1,1,1200,1
132,강동,천호,1,6,600,1
133,노원,상계,1,7,900,1
134,구로,고일,1,13,2300,1
135,영등포,당산,1,13,2500,0
136,종로,연건,1,14,800,0
137,구로,신도림,1,14,1300,1
138,강동,천호,1,16,2000,1
139,구로,신도림,1,18,700,1
140,관악,신림,1,19,900,1
141,강동,성내,1,21,1400,1
142,강서,방화,1,23,1900,1
143,중부,신당,2,9,1200,0
144,성동,왕십리,2,12,900,1
145,동대문,전농,2,12,1500,1
146,동작,노량진,2,12,1700,1
147,동대문,청량리,2,13,2000,1
148,강북,우이,2,15,1300,1
149,중부,을지,2,16,2000,1
150,성동,성수,2,18,2100,0
151,서초,서초,2,18,3000,1
152,용산,한강로,2,18,3100,1
153,관악,난곡,2,19,1500,1
154,관악,봉천,2,21,1500,1
155,서초,양재,2,21,2000,0
156,마포,서교,2,23,1100,1
157,강동,길동,3,0,200,1
158,송파,가락,3,2,1700,1
159,도봉,방학,3,3,1500,1
160,강서,화곡,3,3,1700,0
161,은평,진관,3,6,1600,1
162,성동,행당,3,9,1200,1
163,은평,수색,3,9,1300,1
164,광진,중곡,3,9,500,1
165,강남,수서,3,12,800,1
166,강동,길동,3,13,2000,1
167,강남,삼성,3,15,2100,1
168,송파,방이,3,15,5700,0
169,관악,신림,3,16,1800,1
170,서대문,홍은,3,18,500,1
171,구로,고척,3,18,1200,1
172,서대문,홍은,3,19,2300,0
173,마포,서교,3,22,400,1
174,은평,수색,4,0,900,1
175,서대문,홍은,4,3,2100,1
176,서대문,연희,4,3,2400,1
177,서초,우면,4,4,4000,0
178,서초,양재,4,6,1000,1
179,성북,종암,4,8,1500,1
180,강남,역삼,4,9,3100,1
181,강남,영동,4,9,1700,1
182,강서,개화,4,9,2100,1
183,구로,수궁,4,9,1400,1
184,노원,상계,4,9,1000,1
185,강남,영동,4,10,5600,0
186,관악,봉천,4,10,1500,1
187,성북,돈암,4,10,1000,1
188,송파,마천,4,10,700,1
189,도봉,도봉,4,10,2500,1
190,종로,숭인,4,11,1200,1
191,동작,백운,4,11,2800,1
192,마포,상암,4,12,1100,1
193,도봉,도봉,4,12,2000,1
194,강북,삼각산,4,12,1200,1
195,관악,신림,4,12,800,1
196,서대문,북가좌,4,13,1900,1
197,중부,충무,4,13,1900,1
198,종로,숭인,4,14,1000,1
199,중랑,중화,4,15,500,1
200,구로,신도림,4,18,2400,1
201,마포,서교,4,19,1500,1
202,성북,길음,4,19,2400,1
203,영등포,영등포,4,19,1600,1
204,동대문,용두,4,21,1300,1
205,영등포,당산,4,23,1000,1
206,동대문,청량리,4,23,1400,1
207,동작,동작,5,1,1000,0
208,강남,개포,5,2,1800,1
209,강동,성내,5,3,1000,1
210,구로,구로,5,3,2400,1
211,중부,무학,5,4,1000,1
212,서초,방배,5,4,2000,0
213,용산,후암,5,4,800,1
214,동대문,장안,5,8,1000,1
215,송파,마천,5,9,1500,1
216,강북,미아,5,10,1200,1
217,강남,수서,5,11,1900,1
218,구로,공단,5,11,3000,1
219,서대문,연희,5,12,3500,1
220,서초,잠원,5,13,2200,1
221,성동,성수,5,14,2000,1
222,도봉,쌍문,5,16,2500,1
223,도봉,방학,5,17,1500,1
224,성동,금호,5,21,6000,0
225,동대문,용두,5,22,2000,1
226,구로,시흥,5,22,1500,1
227,동대문,용두,6,3,1000,1
228,중랑,면목,6,6,1500,1
