기간	대분류	분류	총연장(㎞)	평균	오전	낮	오후	월	화	수	목	금	토	일	평일	주말
2019	전체	전체	1,436.7	23.8	26	23.8	20.4	23.4	23.1	23.2	23.3	22.6	24	26.6	23.1	25.3
2019	권역별	강남	730.9	24.2	26.4	24.5	20.4	23.8	23.4	23.6	23.6	22.9	24.6	27.5	23.5	26
2019	권역별	강북	705.8	23.3	25.6	23.2	20.3	23	22.7	22.9	22.9	22.3	23.4	25.8	22.8	24.6
2019	자치구별	종로구	45.9	22.7	26	21.8	19.7	22.7	22.1	22.1	22.2	21.6	22.8	25.1	22.2	24
2019	자치구별	중구	43.8	19.6	23.8	18.3	16.4	19.4	18.6	18.8	18.7	18.1	20.5	23	18.7	21.8
2019	자치구별	용산구	62.1	26.5	30.1	26.4	21.9	26.8	25.9	26	25.9	24.8	26.7	29.5	25.9	28.1
2019	자치구별	성동구	57	24.9	27.1	25	21.8	24.3	23.8	24.1	24.1	23.3	25.8	28.9	23.9	27.4
2019	자치구별	광진구	53.4	24.9	26.9	25.4	21.7	24.5	24.3	24.5	24.5	23.9	24.8	27.9	24.3	26.3
2019	자치구별	동대문구	50.4	24	25.6	23.8	21.6	23.2	23.3	23.5	23.6	23.2	24.5	26.6	23.4	25.6
2019	자치구별	중랑구	49.7	23.5	25.8	23.9	20.2	23	23.1	23.3	23.3	22.8	23.4	25.8	23.1	24.6
2019	자치구별	성북구	59.3	23.9	25.6	24	20.8	23.4	23.4	23.6	23.6	23	23.6	26.2	23.4	24.9
2019	자치구별	강북구	34	21.5	23.3	21.3	19.5	21.2	21.2	21.3	21.4	21	21.3	22.7	21.2	22
2019	자치구별	도봉구	28.6	21.6	23.6	21.5	19.2	21.4	21.4	21.4	21.5	21.1	21.4	23	21.3	22.2
2019	자치구별	노원구	67.9	23.3	24.8	23.3	20.7	23.2	23	23.1	23.2	22.7	22.9	24.9	23	23.9
2019	자치구별	은평구	44.3	21.4	23.4	21.3	19	21.2	21.2	21.3	21.4	21	21.2	22.9	21.2	22
2019	자치구별	서대문구	39.3	23.1	24.5	23.3	20.2	22.7	22.4	22.4	22.5	22.1	23.4	26.1	22.4	24.8
2019	자치구별	마포구	70.1	24.2	26.7	24.2	21.2	24.1	23.7	23.8	23.9	23.1	24.5	26.5	23.7	25.5
2019	자치구별	양천구	57.3	25.4	25.9	26.2	22.4	24.6	24.5	24.8	24.9	24.2	25.7	28.7	24.6	27.2
2019	자치구별	강서구	66.8	23.2	24.4	23.7	20	22.8	22.7	22.8	22.9	22.3	23.4	25.8	22.7	24.6
2019	자치구별	구로구	38.3	22.8	24.1	23.6	19	22	22	22.3	22.4	21.6	23.3	26	22.1	24.7
2019	자치구별	금천구	42.1	22.5	24.8	22.9	18	21.8	21.6	21.9	22	21.1	23.2	26	21.7	24.6
2019	자치구별	영등포구	81.7	23.8	25.9	24	20.4	23.4	23	23.2	23.3	22.5	24.3	26.8	23.1	25.6
2019	자치구별	동작구	33.5	26.3	28	26.7	22.8	26	25.5	25.7	25.8	24.9	26.5	29.6	25.6	28
2019	자치구별	관악구	42.3	25.1	27.2	25.2	22.3	24.9	24.6	24.8	24.9	24.2	24.8	27.5	24.7	26.1
2019	자치구별	서초구	97.9	26.1	29.4	26.1	20.7	25.8	24.9	25.1	25	24	26.3	31.4	25	28.8
2019	자치구별	강남구	101.3	24.4	28.6	24.2	19.4	24.2	23.2	23.4	23.3	22.6	25.1	29.1	23.3	27.1
2019	자치구별	송파구	99.3	24.3	26	24.4	21.8	24	23.8	23.9	23.9	23.3	24.4	26.4	23.8	25.4
2019	자치구별	강동구	70.4	23.4	24.7	23.6	21.1	22.9	23	23.1	23.1	22.7	23.6	25.3	23	24.5
